wp_site_url,wp_tagline,wp_site_title,site_type,openshift_env,category,theme,theme_faculty,status,installs_locked,updates_automatic,langs,unit_name,unit_id,comment,ventilation,,,,,,,,,,
https://lmaf.epfl.ch,Laboratory of Applied Mechanics and Reliability Analysis,LMAF,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,LMAF,10367,Migrated from Jahia to WP 2018-03-12,,,,,,,,,,,
https://biop-next.epfl.ch,Bioimaging and Optics Platform,PTBIOP,wordpress,subdomains,GeneralPublic,epfl-master,sv,yes,yes,yes,"fr,en",PTBIOP,12092,,,,,,,,,,,,
https://cipd.epfl.ch,Protection des données,CIPD,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",GEC,10005,Ce site a pour objectif de présenter la politique de l'EPFL en matière de protection des données.,,,,,,,,,,,
https://ntcm2018.epfl.ch,Trends in Chiral Magnetism Summer School 2018,NTCM2018,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,LMGN,13021,Trends in Chiral Magnetism Summer School 2018,,,,,,,,,,,
https://sdsc.epfl.ch,Swiss Data Science Center,SDSC,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",SDSC-GE,13301,,,,,,,,,,,,
https://cen.epfl.ch,EPFL Energy Center,CEN,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",CEN-GE,11809,Centre transfacultaire,,,,,,,,,,,
https://eurotech2018.epfl.ch,Cross Disciplinary Perspectives On Machine Learning,Eurotech2018,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,LSM,10325,,,,,,,,,,,,
https://ase.epfl.ch,Association Speedcubing EPFL,ASE,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,fr,ASE,13591,,,,,,,,,,,,
https://gencurv2018.epfl.ch,Generalized Curvatures,gencurv2018,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,GR-TR,10116,"Summer school on ""generalized curvatures"", EPFL, September 3-7",,,,,,,,,,,
https://help-mail.epfl.ch,help Mail,help_mail,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",EXAPP,13033,Aide en ligne pour le Service Mail,,,,,,,,,,,
https://react.epfl.ch,Coordination & Interaction Systems Group,REACT,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,SCI-STI-DG,12390,Migrated from Jahia to WP 2018-04-11,,,,,,,,,,,
https://nextgen.epfl.ch,Next generation methods to preserve farm animal biodiversity,NEXTGEN,wordpress,subdomains,GeneralPublic,epfl-master,enac,yes,yes,yes,en,LASIG,10244,Migrated from Jahia to WP 2018-04-11,,,,,,,,,,,
https://mechanical-spectroscopy.epfl.ch,mechanical-spectroscopy,GSM,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,LPMC,10142,Migrated from Jahia to WP 2018-04-11,,,,,,,,,,,
https://apel.epfl.ch,Association des professeurs de l'EPFL,APEL,wordpress,subdomains,GeneralPublic,epfl-master,assoc,yes,yes,yes,fr,LPMC,10142,Migrated from Jahia to WP 2018-04-11,,,,,,,,,,,
https://ecmatrix.epfl.ch,New Frontiers in Extracellular Matrix Research,ECMatrix,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,UPLUT,11736,,,,,,,,,,,,
https://topologicalmaterials.epfl.ch,Topological materials,TM,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,C3MP,12491,,,,,,,,,,,,
https://pxga.epfl.ch,PX GROUP Award,PXGA,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,IMT-GE,10344,,,,,,,,,,,,
https://skyrmions.epfl.ch,Sinergia Network,Nanoskyrmionics,wordpress,subdomains,GeneralPublic,epfl-blank,sti,yes,yes,yes,en,LMGN,13021,Migrated from Jahia to WP 2018-04-19,,,,,,,,,,,
https://polychinelle.epfl.ch,Le Polychinelle Nursery Garderie,Polychinelle,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"en,fr",IDEV-BI,13387,Migrated from Jahia to WP 2018-04-19,,,,,,,,,,,
https://ggsd.epfl.ch,Group for Gas-Surface Dynamics,GGSD,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,LCPM,10106,Migrated from Jahia to WP 2018-04-19,,,,,,,,,,,
https://lsen.epfl.ch,Laboratory of Nanoscale Science,LSEN,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,IPHYS-GE,13150,Migrated from Jahia to WP 2018-04-19,,,,,,,,,,,
https://eurotech.epfl.ch,EUROTECH WINTER SCHOOL 2018,eurotech,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,EDEY-GE,10899,Migrated from Jahia to WP 2018-04-19,,,,,,,,,,,
https://issw.epfl.ch,1st International SPAD Sensor Workshop,ISSW,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,LAMD,12652,Migrated from Jahia to WP 2018-04-19,,,,,,,,,,,
https://help-accred.epfl.ch,Aide en ligne accred.epfl.ch,help-accred,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,fr,EXOP-GE,13052,,,,,,,,,,,,
https://campusanalytics.epfl.ch,Campus Analytics,CA,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,CEDE-GE,12751,,,,,,,,,,,,
https://irgc-next.epfl.ch,EPFL International Risk Governance Center,IRGC,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,IRGC-GE,12705,,,,,,,,,,,,
https://scaffolds2018.epfl.ch,"Models, Scaffolds and Protostructures. Embodied Ways-of-knowing in Practice-Based Research and Education. International Symposium 2018",scaffolds 2018,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,ALICE,11533,,,,,,,,,,,,
https://t4i.epfl.ch,Tech 4 Impact,T4I,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,VPI,10014,,,,,,,,,,,,
https://aci.epfl.ch,ACI Atelier pour le routage et la fabrication de circuits imprimés,ACI,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,ATMX,10332,,,,,,,,,,,,
https://afa.epfl.ch,Atelier de Fabrication Additive (Impression 3D),AFA,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,fr,ATMX,10332,,,,,,,,,,,,
https://atme.epfl.ch,Atelier de l'Institut de génie mécanique,ATME,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,fr,ATMX,10332,,,,,,,,,,,,
https://atpr.epfl.ch,Atelier de l'Institut de production et robotique,ATPR,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,fr,ATMX,10332,,,,,,,,,,,,
https://ptmh.epfl.ch,Plateforme technologique machines hydrauliques,PTMH,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,fr,ATMX,10332,,,,,,,,,,,,
https://smat.epfl.ch,Chair of Mathematical Statistics,SMAT,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,SMAT,11798,,,,,,,,,,,,
https://eee.epfl.ch,EPFL Excellence in Engineering,E3,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,STI-DO,10276,,,,,,,,,,,,
https://sci-sb-rh.epfl.ch,SCI SB RH Group,SI-SB-RH,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,"fr,en",SCI-SB-RH,13466,,,,,,,,,,,,
https://photonicsminor.epfl.ch,Minor in Photonics,photonicsminor,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,SMT-ENS,11012,,,,,,,,,,,,
https://omt-hot-2018.epfl.ch,OMT-HOT 2018 annual conference,OMT-HOT 2018,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,LPQM1,11892,Migrated from Jahia to WP 2018-05-14,,,,,,,,,,,
