sciper;labAcronyme;siteUrl;doublon;clusters;idSite
107144;LMIS4;https://www.epfl.ch/labs/lmis4;;Neurotechnology|Personalized health;f3oyFjWngzQpCT9p3
107331;SCI-STI-CD;https://www.epfl.ch/labs/rfic;;Internet of things|Micro and nanosystems|Neural engineering and prosthetics|Personalized health;CrGmAY3W5wZj6cmYW
107537;LCAV;https://www.epfl.ch/labs/lcav;;Information & communication theory|Signal & image processing;8Eis2kcfgQkvoiwma
107920;SCI-SB-MG;https://www.epfl.ch/labs/lse;;Microscopy spectromicroscopy and imaging|Strongly correlated electron systems|Surface physics and low-dimensional systems|Ultrafast spectroscopy and optics;ksEj9wm8uZFLdNCJX
107971;SCI-STI-JVH;https://www.epfl.ch/labs/gem;;Energy systems;qtK8y9bw5DghMM6j9
109250;CSEA;https://www.epfl.ch/labs/csea;;Computational chemistry|Physical chemistry|Renewable energy|Atomic and molecular physics|Computational physics|Condensed matter theory|Nanosciences|Surface physics and low-dimensional systems|Theoretical Physics;ZojnnJWzdm7jE2CWD
109297;GALATEA;https://www.epfl.ch/labs/galatea;;Advanced manufacturing|Optics and photonics;Zuwr5PQEupmTAhK3f
110606;UPNAE;https://www.epfl.ch/labs/naef-lab;;Computational biology|Genetics|Genomics|Molecular and celluar biology;3MHYmWmahD85BDhTA
110635;LMIS1;https://www.epfl.ch/labs/lmis1;;Micro and nanosystems;TqBLcT7WLAdXt5XuZ
111182;LMAF;https://www.epfl.ch/labs/lmaf;;Advanced manufacturing|Soft matter and flexible structures|Space technology|Sports technology;5LCrLtkzywmH3KQEg
111184;STAT;https://www.epfl.ch/labs/stat;;Probability and stochastics|Statistics;3iSsyGftpAETgNk9M
111729;LIS;https://www.epfl.ch/labs/lis;;Bio-inspired designs and systems|Robotics and autonomous systems|Soft matter and flexible structures;FxCHJ2m8xQzv6kE2r
111732;LCN;https://lcn.epfl.ch;;Computational biology|Neurocomputation;YaRrYADJLsqSCcfQB
112194;BNMS;https://www.epfl.ch/labs/bnms;;Internet of things;tce7XtEq9i8acAH4H
112366;CVLAB;https://www.epfl.ch/labs/cvlab;;Artificial Intelligence (AI) |Machine Learning (ML)|Computer vision|Signal & image processing;7tn8TcbTXeJnTT54M
112836;LMM;https://www.epfl.ch/labs/lmm;;Advanced manufacturing|Energy systems|Space technology;KJApbMfpeJt5MoHKx
113297;LCC;https://www.epfl.ch/labs/lcc;;Territory and society;BN7qsmcMTpHja9TF2
113762;LMIS2;https://www.epfl.ch/labs/lmis2;;Advanced manufacturing|Micro and nanosystems|Optics and photonics|Personalized health|Soft matter and flexible structures;CZjajg9oMxj6LNqrN
113868;LCVMM;https://www.epfl.ch/labs/lcvmm;;Applied and computational mathematics;FG3RoNpE4c5cqrNH6
