fac,institut,site_url
STI,IEL,http://desl-pwrs.epfl.ch/
SB,SPC,http://spc.epfl.ch/research_TCV
ENAC,IA,http://lab-u.epfl.ch/
SB,SPC,http://spc.epfl.ch/research_theory
ENAC,IIC,http://mcs.epfl.ch/
SB,ISIC,http://lcpm.epfl.ch/drabbels
STI,IMX,http://tic.epfl.ch/
SB,IPHYS,http://lpn.epfl.ch/
SB,IPHYS,http://laspe.epfl.ch/
IC,,http://supra.epfl.ch/
SB,SPC,http://spc.epfl.ch/research_TCV
STI,IGM,http://lmh.epfl.ch/
SV,GHI,http://fellay-lab.epfl.ch/
ENAC,IIC,http://ibeton.epfl.ch/Person/Migferna/
STI,IEL,http://www.idiap.ch/~fleuret/
SB,SPC,http://spc.epfl.ch/research_basicplasmas
STI,,http://react.epfl.ch/
SB,SPC,http://spc.epfl.ch/research_theory
SB,IPHYS,http://lns.epfl.ch/
STI,IMT,http://pvlab.epfl.ch/
STI,IMT,http://pvlab.epfl.ch/
SB,SPC,http://spc.epfl.ch/research_collaborations
SB,ISIC,http://lip.epfl.ch/
SV,PTECH,http://bioem.epfl.ch
ENAC,IIC,http://imac.epfl.ch/
STI,IMX,http://ltc.epfl.ch/
STI,IGM,http://iag.epfl.ch/
STI,IMT,http://hl.epfl.ch/
SB,IPHYS,http://lpmc.epfl.ch/
STI,IEL,http://gramm.epfl.ch/
SB,ISIC,http://gscp.epfl.ch/
STI,IMX,http://tic.epfl.ch/
SB,SPC,http://spc.epfl.ch/research_TCV
SB,IPHYS,http://lastro.epfl.ch/
SB,IPHYS,http://loeq.epfl.ch
STI,IEL,http://idiap.epfl.ch/
SB,ISIC,http://lcpm.epfl.ch
STI,IGM,http://gtt.epfl.ch/
ENAC,IA,http://lasur.epfl.ch/
ENAC,IA,http://lasur.epfl.ch/
STI,IMX,http://ltc.epfl.ch
SB,IPHYS,http://loeq.epfl.ch
SB,IPHYS,http://lrs.epfl.ch/
IC,,http://hci.epfl.ch/
SB,IPHYS,http://lns.epfl.ch
STI,IEL,http://edlab.epfl.ch/
SB,SPC,http://spc.epfl.ch/research_theory
STI,,http://acces.epfl.ch/
STI,IMT,http://opt.epfl.ch/
SV,BMI,http://hessbellwald-lab.epfl.ch
STI,IEL,http://lsm.epfl.ch/
SV,BMI,http://len.epfl.ch/
SB,IPHYS,http://lppc.epfl.ch/
ENAC,IIE,http://topo.epfl.ch/
STI,IMX,http://nanolab.epfl.ch/
STI,IMX,http://lc.epfl.ch/
SV,PTECH,http://bsf.epfl.ch/
